INFO dasl_sync Starting DASL -> BigQuery pipeline (base URL: https://daslwebapi.azurewebsites.net)
INFO dasl_sync Loading years: [2024, 2025, 2026]
WARNING dasl_sync DASL GET https://daslwebapi.azurewebsites.net/assocSchoolData/0015G00002YH46J -> 500, retry 1/5 in 2.0s
INFO dasl_sync Finished school 0015G00002YH46J: running fact_rows=222530
INFO dasl_sync Finished school 001f400000EnXvf: running fact_rows=222530
INFO dasl_sync Finished school 001f400000EnXvk: running fact_rows=222530
INFO dasl_sync Finished school 001f400000EnXwg: running fact_rows=222530
INFO dasl_sync Finished school 001f400000EnXtT: running fact_rows=222530
INFO dasl_sync Finished school 001f4000010f0MQ: running fact_rows=222530
INFO dasl_sync Finished school 001f400000EnXur: running fact_rows=228140
INFO dasl_sync Finished school 001f400000EnXtW: running fact_rows=228140
INFO dasl_sync Finished school 001f400000EnXtv: running fact_rows=233750
INFO dasl_sync Finished school 001f400000EnXua: running fact_rows=233750
INFO dasl_sync Finished school 0015G00001VP3xo: running fact_rows=233750
INFO dasl_sync Finished school 001f400000EnXve: running fact_rows=233750
INFO dasl_sync Finished school 001f400000EnXug: running fact_rows=235620
INFO dasl_sync Finished school 001f400000EnXvX: running fact_rows=241230
INFO dasl_sync Finished school 001f400000EnXuj: running fact_rows=241230
INFO dasl_sync Finished school 001f400000EnXtw: running fact_rows=241230
INFO dasl_sync Finished school 001f400000EnXwF: running fact_rows=241230
INFO dasl_sync Finished school 001f400000EnXvr: running fact_rows=246840
INFO dasl_sync Finished school 001f400000EnXwX: running fact_rows=246840
INFO dasl_sync Finished school 001f400000EnXvP: running fact_rows=246840
INFO dasl_sync Finished school 001f400000EnXta: running fact_rows=246840
INFO dasl_sync Finished school 001PH00000oq5YU: running fact_rows=250580
INFO dasl_sync Finished school 001f400001Twyi3: running fact_rows=250580
INFO dasl_sync Finished school 001f400000EnXwT: running fact_rows=256190
INFO dasl_sync Finished school 001f400000EnXxN: running fact_rows=256190
INFO dasl_sync Finished school 001f400000EnXwR: running fact_rows=256190
INFO dasl_sync Finished school 001f400000EnXt6: running fact_rows=261800
INFO dasl_sync Finished school 001f400000EnXvc: running fact_rows=261800
INFO dasl_sync Finished school 001f400000EnXuq: running fact_rows=261800
INFO dasl_sync Finished school 001f400000EnXvK: running fact_rows=261800
INFO dasl_sync Finished school 001f400000EnXxT: running fact_rows=265540
INFO dasl_sync Finished school 001f400000EnXvQ: running fact_rows=265540
INFO dasl_sync Finished school 0015G0000259qxk: running fact_rows=271150
INFO dasl_sync Finished school 001f400000EnXtc: running fact_rows=271150
INFO dasl_sync Finished school 001f400000EnXw9: running fact_rows=274890
INFO dasl_sync Finished school 001f400000EnXtp: running fact_rows=280500
INFO dasl_sync Finished school 001f400000EnXx5: running fact_rows=286110
INFO dasl_sync Finished school 001f400000EnXut: running fact_rows=286110
INFO dasl_sync Finished school 001f400000EnXti: running fact_rows=286110
INFO dasl_sync Finished school 001f400000EnXwK: running fact_rows=286110
INFO dasl_sync Finished school 001f400000EnXt0: running fact_rows=291720
INFO dasl_sync Finished school 001f400000EnXuI: running fact_rows=297330
INFO dasl_sync Finished school 001f400000EnXw5: running fact_rows=297330
INFO dasl_sync Finished school 001f400000EnXue: running fact_rows=302940
INFO dasl_sync Finished school 001f400000EnXtK: running fact_rows=302940
INFO dasl_sync Finished school 001f400000EnXuW: running fact_rows=302940
INFO dasl_sync Finished school 001f400000MbZcJ: running fact_rows=306680
INFO dasl_sync Finished school 001f400000EnXuF: running fact_rows=310420
INFO dasl_sync Finished school 001f400000EnXsr: running fact_rows=316030
INFO dasl_sync Finished school 001f400000EnXux: running fact_rows=321640
INFO dasl_sync Finished school 001f400000EnXwk: running fact_rows=321640
INFO dasl_sync Finished school 001f400000EnXw4: running fact_rows=323510
INFO dasl_sync Finished school 001f400000EnXuD: running fact_rows=329120
INFO dasl_sync Finished school 001f400000EnXv7: running fact_rows=334730
INFO dasl_sync Finished school 001f400000EnXtd: running fact_rows=334730
INFO dasl_sync Finished school 001f400000EnXxA: running fact_rows=340340
INFO dasl_sync Finished school 001f400000EnXsM: running fact_rows=342210
INFO dasl_sync Finished school 001f400000EnXvO: running fact_rows=342210
INFO dasl_sync Finished school 001f400000EnXwH: running fact_rows=342210
INFO dasl_sync Finished school 001f400000EnXtI: running fact_rows=342210
INFO dasl_sync Finished school 001f400000EnXwj: running fact_rows=347820
INFO dasl_sync Finished school 0015G00002A8ozx: running fact_rows=353430
INFO dasl_sync Finished school 001f400000EnXww: running fact_rows=353430
INFO dasl_sync Finished school 001f400000EnXxY: running fact_rows=353430
INFO dasl_sync Finished school 001f400000EnXtY: running fact_rows=353430
INFO dasl_sync Finished school 001f400000EnXvH: running fact_rows=359040
INFO dasl_sync Finished school 001PH00000QaUoc: running fact_rows=364650
INFO dasl_sync Finished school 001f400000EnXwN: running fact_rows=370260
INFO dasl_sync Finished school 001f400000EnXtF: running fact_rows=370260
INFO dasl_sync Finished school 001f400000EnXtQ: running fact_rows=375870
INFO dasl_sync Finished school 0015G00001kbXgp: running fact_rows=381480
INFO dasl_sync Finished school 001f400000EnXtf: running fact_rows=381480
INFO dasl_sync Finished school 001f400000EnXss: running fact_rows=383350
INFO dasl_sync Finished school 001f400000EnXvG: running fact_rows=383350
INFO dasl_sync Finished school 001f400000EnXvl: running fact_rows=383350
INFO dasl_sync Finished school 001f400000EnXst: running fact_rows=388960
INFO dasl_sync Finished school 001f400000EnXv4: running fact_rows=394570
