varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
3468,,False,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten (Part-time): Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten (Part-time): Total,integer,,False
14305,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: Day,integer,,False
14306,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: 5-Day Boarding,integer,,False
14307,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: 7-Day Boarding,integer,,False
14308,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: Total Boarding,integer,,False
1515,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: Total,integer,,False
14309,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Pre-First Grade: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Pre-First Grade: Day,integer,,False
14310,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Pre-First Grade: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Pre-First Grade: 5-Day Boarding,integer,,False
14311,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Pre-First Grade: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Pre-First Grade: 7-Day Boarding,integer,,False
14312,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Pre-First Grade: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Pre-First Grade: Total Boarding,integer,,False
